id,name,pos,team,img
kembawalker-PG,Kemba Walker,PG,DAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6479.png&w=96&h=70&cb=1
kentaviouscaldwellpope-SG,Kentavious CaldwellPope,SG,DEN,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2581018.png&w=96&h=70&cb=1
kenyonmartinjr-SF,Kenyon Martin Jr,SF,PHI,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431828.png&w=96&h=70&cb=1
kevindurant-SF,Kevin Durant,SF,PHX,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3202.png&w=96&h=70&cb=1
kevinhuerter-SG,Kevin Huerter,SG,SAC,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066372.png&w=96&h=70&cb=1
kevinknoxii-SF,Kevin Knox II,SF,DET,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278075.png&w=96&h=70&cb=1
kevinlove-PF,Kevin Love,PF,MIA,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3449.png&w=96&h=70&cb=1
kevinporterjr-SG,Kevin Porter Jr,SG,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397140.png&w=96&h=70&cb=1
kevonlooney-C,Kevon Looney,C,GS,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3155535.png&w=96&h=70&cb=1
keyontegeorge-SG,Keyonte George,SG,UTAH,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433627.png&w=96&h=70&cb=1
khrismiddleton-SF,Khris Middleton,SF,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3064514.png&w=96&h=70&cb=1
killianhayes-PG,Killian Hayes,PG,DET,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683024.png&w=96&h=70&cb=1
