id,name,pos,team,img
dustinhopkins-K,Dustin Hopkins,K,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15965.png&w=96&h=70&cb=1
eaglesdst-DST,Eagles DST,DST,PHI,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/phi.png&h=188&w=188&w=96&h=70&cb=1
elijahmitchell-RB,Elijah Mitchell,RB,SF,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4241555.png&w=96&h=70&cb=1
evanengram-TE,Evan Engram,TE,JAX,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3051876.png&w=96&h=70&cb=1
evanmcpherson-K,Evan McPherson,K,CIN,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4360234.png&w=96&h=70&cb=1
ezekielelliott-RB,Ezekiel Elliott,RB,DAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3051392.png&w=96&h=70&cb=1
falconsdst-DST,Falcons DST,DST,ATL,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/atl.png&h=188&w=188&w=96&h=70&cb=1
gabedavis-WR,Gabe Davis,WR,JAX,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4243537.png&w=96&h=70&cb=1
garrettwilson-WR,Garrett Wilson,WR,NYJ,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4569618.png&w=96&h=70&cb=1
genosmith-QB,Geno Smith,QB,SEA,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15864.png&w=96&h=70&cb=1
georgekittle-TE,George Kittle,TE,SF,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3040151.png&w=96&h=70&cb=1
georgepickens-WR,George Pickens,WR,PIT,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4426354.png&w=96&h=70&cb=1
giantsdst-DST,Giants DST,DST,NYG,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/nyg.png&h=188&w=188&w=96&h=70&cb=1
gregzuerlein-K,Greg Zuerlein,K,NYJ,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14993.png&w=96&h=70&cb=1
gusedwards-RB,Gus Edwards,RB,LAC,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3051926.png&w=96&h=70&cb=1
harrisonbutker-K,Harrison Butker,K,KC,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3055899.png&w=96&h=70&cb=1
hunterhenry-TE,Hunter Henry,TE,NE,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3046439.png&w=96&h=70&cb=1
isaiahlikely-TE,Isaiah Likely,TE,BAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4361050.png&w=96&h=70&cb=1
