week,manager_id,slot_idx,player_id,aquired
1,6,11,michaelpittmanjr-WR,Draft
1,6,12,ajdillon-RB,Draft
1,6,13,zayflowers-WR,Draft
1,6,14,elijahmitchell-RB,Draft
1,6,15,zachcharbonnet-RB,Draft
1,6,16,rashaadpenny-RB,Draft
1,7,1,lamarjackson-QB,Draft
1,7,2,joshjacobs-RB,Draft
1,7,3,alvinkamara-RB,Draft
1,7,4,jamarrchase-WR,Draft
1,7,5,teehiggins-WR,Draft
1,7,6,kylepitts-TE,Draft
1,7,7,mikewilliams-WR,Draft
1,7,8,packersdst-DST,Draft
1,7,9,justintucker-K,Draft
1,7,10,courtlandsutton-WR,Draft
1,7,11,dandreswift-RB,Draft
1,7,12,genosmith-QB,Draft
1,7,13,colekmet-TE,Draft
1,7,14,adamthielen-WR,Draft
1,7,15,tylerhigbee-TE,Draft
1,7,16,devinsingletary-RB,Draft
1,8,1,russellwilson-QB,Draft
1,8,2,nickchubb-RB,Draft
1,8,3,jahmyrgibbs-RB,Draft
1,8,4,devontasmith-WR,Draft
1,8,5,drakelondon-WR,Draft
1,8,6,dallasgoedert-TE,Draft
1,8,7,dameonpierce-RB,Draft
1,8,8,cowboysdst-DST,Draft
1,8,9,jakeelliott-K,Draft
1,8,10,justinherbert-QB,Draft
1,8,11,jahandotson-WR,Draft
1,8,12,brianrobinsonjr-RB,Draft
1,8,13,treylonburks-WR,Draft
1,8,14,jerickmckinnon-RB,Draft
1,8,15,elijahmoore-WR,Draft
1,8,17,cooperkupp-WR,Draft
1,9,1,joeburrow-QB,Draft
1,9,2,saquonbarkley-RB,Draft
1,9,3,travisetiennejr-RB,Draft
1,9,4,tyreekhill-WR,Draft
1,9,5,chrisolave-WR,Draft
1,9,6,darrenwaller-TE,Draft
1,9,7,terrymclaurin-WR,Draft
1,9,8,49ersdst-DST,Draft
1,9,9,camerondicker-K,Draft
1,9,10,khalilherbert-RB,Draft
1,9,11,michaelthomas-WR,Draft
1,9,12,rondalemoore-WR,Draft
1,9,13,jamaalwilliams-RB,Draft
1,9,14,mattbreida-RB,Draft
1,9,15,geraldeverett-TE,Draft
1,9,16,raheemmostert-RB,Free Agency
1,9,17,jeffwilsonjr-RB,Draft
1,10,1,trevorlawrence-QB,Draft
1,10,2,tonypollard-RB,Draft
1,10,3,najeeharris-RB,Draft
1,10,4,davanteadams-WR,Draft
1,10,5,calvinridley-WR,Draft
1,10,6,tjhockenson-TE,Draft
1,10,7,milessanders-RB,Draft
1,10,8,patriotsdst-DST,Draft
1,10,9,younghoekoo-K,Draft
1,10,10,jkdobbins-RB,Draft
1,10,11,jordanaddison-WR,Draft
1,10,12,jaxonsmithnjigba-WR,Draft
1,10,13,daltonschultz-TE,Draft
1,10,14,nicocollins-WR,Draft
1,10,15,dakprescott-QB,Draft
1,10,16,jaylenwarren-RB,Draft
2,1,1,kirkcousins-QB,Draft
2,1,2,christianmccaffrey-RB,Draft
2,1,3,jamesconner-RB,Draft
2,1,4,ajbrown-WR,Draft
2,1,5,jaylenwaddle-WR,Draft
2,1,6,zachertz-TE,Free Agency
2,1,7,rhamondrestevenson-RB,Draft
2,1,8,giantsdst-DST,Free Agency
2,1,9,jakemoody-K,Free Agency
2,1,10,mikeevans-WR,Draft
2,1,11,davidmontgomery-RB,Draft
2,1,12,georgepickens-WR,Draft
2,1,13,skyymoore-WR,Draft
2,1,14,kadariustoney-WR,Draft
2,1,15,anthonyrichardson-QB,Free Agency
2,1,16,eaglesdst-DST,Free Agency
2,1,17,markandrews-TE,Draft
2,2,1,joshallen-QB,Draft
2,2,2,bijanrobinson-RB,Draft
2,2,3,jamescook-RB,Draft
2,2,4,ceedeelamb-WR,Draft
2,2,5,amaricooper-WR,Draft
2,2,6,davidnjoku-TE,Draft
2,2,7,christianwatson-WR,Draft
2,2,8,steelersdst-DST,Draft
2,2,9,harrisonbutker-K,Draft
2,2,10,djmoore-WR,Draft
2,2,11,javontewilliams-RB,Draft
2,2,12,christiankirk-WR,Draft
2,2,13,roschonjohnson-RB,Draft
2,2,14,daltonkincaid-TE,Draft
2,2,15,pukanacua-WR,Free Agency
2,2,16,haydenhurst-TE,Free Agency
2,3,1,jalenhurts-QB,Draft
2,3,2,breecehall-RB,Draft
2,3,3,kennethgainwell-RB,Free Agency
2,3,4,justinjefferson-WR,Draft
2,3,5,chrisgodwin-WR,Draft
2,3,6,evanengram-TE,Draft
2,3,7,jerryjeudy-WR,Draft
2,3,8,ravensdst-DST,Draft
2,3,9,jasonmyers-K,Draft
2,3,10,camakers-RB,Draft
2,3,11,brandincooks-WR,Draft
2,3,12,tylerboyd-WR,Draft
2,3,13,odellbeckhamjr-WR,Draft
2,3,14,ezekielelliott-RB,Draft
2,3,15,kjosborn-WR,Draft
2,3,16,zackmoss-RB,Free Agency
