week,id,injury,opp,proj,prev_score,roster,roster_change,total_pts,avg_pts
1,cordarrellepatterson-RB,Q,CAR,4.0,,9.6,0.0,4.0,0.0
1,courtlandsutton-WR,,LV,13.0,,90.1,3.2,13.0,0.0
1,cowboysdst-DST,,@NYG,7.2,,95.7,1.0,7.2,0.0
1,curtissamuel-WR,,ARI,8.3,,18.2,2.9,8.3,0.0
1,dakprescott-QB,,@NYG,18.4,,90.7,2.0,18.4,0.0
1,dallasgoedert-TE,,@NE,9.9,,97.2,1.7,9.9,0.0
1,daltonkincaid-TE,,@NYJ,6.7,,67.0,6.9,6.7,0.0
1,daltonschultz-TE,,@BAL,8.2,,83.1,0.2,8.2,0.0
1,dalvincook-RB,,BUF,12.0,,94.2,2.4,12.0,0.0
1,dameonpierce-RB,,@BAL,13.6,,98.1,1.4,13.6,0.0
1,damienharris-RB,,@NYJ,5.8,,28.6,2.2,5.8,0.0
1,dandreswift-RB,,@NE,9.7,,91.2,1.5,9.7,0.0
1,danielcarlson-K,,@DEN,8.2,,98.4,0.4,8.2,0.0
1,danieljones-QB,,DAL,17.5,,81.4,0.9,17.5,0.0
1,darnellmooney-WR,,GB,9.2,,64.7,1.9,9.2,0.0
1,darrenwaller-TE,,DAL,12.1,,99.6,0.3,12.1,0.0
1,davanteadams-WR,,@DEN,19.0,,99.9,0.0,19.0,0.0
1,davidmontgomery-RB,,@KC,12.3,,93.5,2.7,12.3,0.0
1,davidnjoku-TE,,CIN,10.0,,92.4,2.6,10.0,0.0
1,dawsonknox-TE,,@NYJ,6.9,,12.3,0.5,6.9,0.0
1,deandrehopkins-WR,,@NO,13.4,,98.5,0.6,13.4,0.0
1,deebosamuel-WR,,@PIT,14.2,,99.7,0.2,14.2,0.0
1,deonjackson-RB,,JAX,7.6,,37.7,25.4,7.6,0.0
1,derekcarr-QB,,TEN,14.7,,29.6,2.4,14.7,0.0
1,derrickhenry-RB,,@NO,17.1,,99.9,0.0,17.1,0.0
1,deshaunwatson-QB,,CIN,18.5,,94.4,2.1,18.5,0.0
1,deucevaughn-RB,,@NYG,3.3,,11.5,-0.9,3.3,0.0
1,devanteparker-WR,Q,PHI,8.4,,4.8,0.4,8.4,0.0
1,devinsingletary-RB,,@BAL,7.5,,57.3,2.1,7.5,0.0
1,devonachane-RB,,@LAC,6.6,,27.9,9.7,6.6,0.0
1,devontasmith-WR,,@NE,14.0,,99.7,0.1,14.0,0.0
